Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.25     0.00       33     0.00     0.00  parse_type_base
  0.00      0.25     0.00       32     0.00     0.00  new_stmt_dim
  0.00      0.25     0.00       32     0.00     0.00  parse_stmt_dim
  0.00      0.25     0.00       32     0.00     7.81  test_resolve
  0.00      0.25     0.00       27     0.00     0.00  parse_stmt_block
  0.00      0.25     0.00       23     0.00     0.00  new_expr_call
  0.00      0.25     0.00       23     0.00     0.00  resolve_select_case
  0.00      0.25     0.00       20     0.00     0.00  resolve_expr_call
  0.00      0.25     0.00       20     0.00     0.00  resolve_expr_call_default
  0.00      0.25     0.00       19     0.00     0.00  resolve_select_case_pattern
  0.00      0.25     0.00       18     0.00     0.00  init_builtin_func
  0.00      0.25     0.00       18     0.00     0.00  jalloc
  0.00      0.25     0.00       18     0.00     0.00  new_sym_func
  0.00      0.25     0.00       18     0.00     0.00  sym_push_func
  0.00      0.25     0.00       17     0.00     0.00  new_expr_boolean
  0.00      0.25     0.00       13     0.00     0.00  new_expr_unary
  0.00      0.25     0.00       12     0.00     0.00  new_stmt_select_case
  0.00      0.25     0.00       12     0.00     0.00  parse_stmt_select
  0.00      0.25     0.00       11     0.00     0.00  min
  0.00      0.25     0.00       11     0.00     0.00  new_expr_paren
  0.00      0.25     0.00        9     0.00     0.00  init_builtin_funcs
  0.00      0.25     0.00        9     0.00     0.00  init_builtin_types
  0.00      0.25     0.00        9     0.00     0.00  init_interpreter
  0.00      0.25     0.00        9     0.00     0.00  init_type_double_func
  0.00      0.25     0.00        9     0.00     0.00  initial_parse
  0.00      0.25     0.00        9     0.00     0.00  map_put
  0.00      0.25     0.00        9     0.00     0.00  max
  0.00      0.25     0.00        9     0.00     0.00  new_interpreter
  0.00      0.25     0.00        9     0.00     0.04  parse_stmts
  0.00      0.25     0.00        8     0.00     0.00  new_stmt_if
  0.00      0.25     0.00        8     0.00     0.00  parse_stmt_if
  0.00      0.25     0.00        7     0.00     0.00  new_stmt_for
  0.00      0.25     0.00        7     0.00     0.01  parse_stmt_for
  0.00      0.25     0.00        6     0.00     0.00  resolve_stmt_select_case
  0.00      0.25     0.00        4     0.00     0.00  new_sym_builtin
  0.00      0.25     0.00        4     0.00     0.00  new_typespec_project
